TimeStamp,Value
03/21/2023 00:00:00,32.55
03/22/2023 00:00:00,32.25
03/23/2023 00:00:00,33
03/24/2023 00:00:00,32.55
03/27/2023 01:00:00,33.2
03/28/2023 01:00:00,33.15
03/28/2023 01:00:00,33.75
03/29/2023 01:00:00,33.725
03/30/2023 01:00:00,34.5
03/30/2023 01:00:00,34.55
03/31/2023 01:00:00,36.8
04/03/2023 01:00:00,38.25
04/03/2023 01:00:00,38
04/04/2023 01:00:00,37.65
04/04/2023 01:00:00,37.05
04/05/2023 01:00:00,36
04/06/2023 01:00:00,35.7
04/11/2023 01:00:00,37.5
04/12/2023 01:00:00,37.8
04/13/2023 01:00:00,36.8
04/13/2023 01:00:00,37.5
04/14/2023 01:00:00,37
04/17/2023 01:00:00,37.6
04/18/2023 01:00:00,37.875
04/19/2023 01:00:00,37.3
04/19/2023 01:00:00,37.8
04/20/2023 01:00:00,37.55
04/21/2023 01:00:00,37.7
04/24/2023 01:00:00,37.5
04/25/2023 01:00:00,37.6
04/26/2023 01:00:00,38.3
04/26/2023 01:00:00,37.3
04/27/2023 01:00:00,39
04/28/2023 01:00:00,38.95
04/28/2023 01:00:00,40
05/02/2023 01:00:00,37.7
05/02/2023 01:00:00,38.55
05/03/2023 01:00:00,37.5
05/04/2023 01:00:00,37.7
05/04/2023 01:00:00,37.55
05/05/2023 01:00:00,37.6
05/08/2023 01:00:00,38
05/09/2023 01:00:00,38.4
05/10/2023 01:00:00,38.25
05/10/2023 01:00:00,38.65
05/11/2023 01:00:00,38.25
05/12/2023 01:00:00,38
05/12/2023 01:00:00,37.65
05/15/2023 01:00:00,37.5
05/15/2023 01:00:00,37.65
05/16/2023 01:00:00,36.9
05/16/2023 01:00:00,36.8
05/17/2023 01:00:00,37.5
05/17/2023 01:00:00,37.65
05/18/2023 01:00:00,36.5
05/18/2023 01:00:00,36.5
05/19/2023 01:00:00,35.8
05/19/2023 01:00:00,35.64
05/22/2023 01:00:00,35.4
05/23/2023 01:00:00,35.6
05/24/2023 01:00:00,35.3
05/25/2023 01:00:00,34.15
05/26/2023 01:00:00,33.7
05/26/2023 01:00:00,33.65
05/30/2023 01:00:00,33.45
05/31/2023 01:00:00,34.375
06/01/2023 01:00:00,33.45
06/02/2023 01:00:00,33.4
06/05/2023 01:00:00,35
06/06/2023 01:00:00,34.05
06/06/2023 01:00:00,34.15
06/07/2023 01:00:00,34.725
06/07/2023 01:00:00,34.7
06/08/2023 01:00:00,34.9
06/08/2023 01:00:00,34.5
06/09/2023 01:00:00,36.45
06/09/2023 01:00:00,36.4
06/12/2023 01:00:00,34
06/12/2023 01:00:00,35.85
06/13/2023 01:00:00,36.3
06/13/2023 01:00:00,35.5
06/14/2023 01:00:00,37
06/14/2023 01:00:00,37.2
06/15/2023 01:00:00,36.99
06/16/2023 01:00:00,35.75
06/16/2023 01:00:00,35.7
06/19/2023 01:00:00,35.55
06/20/2023 01:00:00,36
06/21/2023 01:00:00,34.5
06/22/2023 01:00:00,33.4
06/23/2023 01:00:00,32.725
06/26/2023 01:00:00,31.7
06/27/2023 01:00:00,33.05
06/28/2023 01:00:00,32.85
06/28/2023 01:00:00,32.8
06/29/2023 01:00:00,32.8
06/29/2023 01:00:00,34
06/30/2023 01:00:00,33.5
06/30/2023 01:00:00,34.9
07/03/2023 01:00:00,34.5
07/04/2023 01:00:00,34.6
07/04/2023 01:00:00,34.7
07/05/2023 01:00:00,36
07/06/2023 01:00:00,35.7
07/06/2023 01:00:00,36
07/07/2023 01:00:00,36
07/07/2023 01:00:00,36.1
07/10/2023 01:00:00,34.78
07/10/2023 01:00:00,33.45
07/11/2023 01:00:00,33
07/11/2023 01:00:00,33.5
07/12/2023 01:00:00,33
07/12/2023 01:00:00,33.4
07/13/2023 01:00:00,34.1
07/14/2023 01:00:00,34.6
07/17/2023 01:00:00,35
07/18/2023 01:00:00,35.5
07/18/2023 01:00:00,35.6
07/19/2023 01:00:00,36.2
07/20/2023 01:00:00,37.025
07/21/2023 01:00:00,36.85
07/24/2023 01:00:00,37.5
07/25/2023 01:00:00,37.6
07/26/2023 01:00:00,36.9
07/26/2023 01:00:00,36.65
07/27/2023 01:00:00,36.7
07/28/2023 01:00:00,36.1
07/28/2023 01:00:00,36.3
07/31/2023 01:00:00,35.965
07/31/2023 01:00:00,36.35
08/01/2023 01:00:00,36
08/02/2023 01:00:00,35.75
08/02/2023 01:00:00,36.4
08/03/2023 01:00:00,36.35
08/03/2023 01:00:00,36.5
08/04/2023 01:00:00,36
08/04/2023 01:00:00,36.3
08/07/2023 01:00:00,36.5
08/08/2023 01:00:00,36.75
08/09/2023 01:00:00,37.1
08/10/2023 01:00:00,36.75
08/10/2023 01:00:00,36.95
08/11/2023 01:00:00,37
08/11/2023 01:00:00,37
08/14/2023 01:00:00,37.18
08/15/2023 01:00:00,38
08/15/2023 01:00:00,38
08/16/2023 01:00:00,37.75
08/16/2023 01:00:00,37.95
